gene_id,transcript_id,
KLLA0_A11792g,CAH03101,
KLLA0_A01221g,CAH02641,
KLLA0_A04961g,CAH02806,
KLLA0_A02233g,CAH02687,
KLLA0_A09801g,CAH03016,
KLLA0_A03421g,CAH02738,
KLLA0_A07887g,CAH02939,
KLLA0_A00594g,CAH02612,
KLLA0_A01155g,CAH02638,
KLLA0_A10263g,CAH03037,
KLLA0_A07865g,CAH02938,
KLLA0_A01364g,CAH02647,
KLLA0_A04983g,CAH02807,
KLLA0_A00869g,CAH02625,
KLLA0_A09141g,CAH02988,
KLLA0_A09537g,CAH03005,
KLLA0_A00759g,CAH02620,
KLLA0_A06842g,CAH02893,
KLLA0_A03157g,CAH02726,
KLLA0_A04125g,CAH02770,
KLLA0_A11198g,CAH03075,
KLLA0_A08206g,CAH02953,
KLLA0_A02937g,CAH02716,
KLLA0_A07084g,CAH02902,
KLLA0_A00781g,CAH02621,
KLLA0_A08338g,CAH02956,
KLLA0_A04609g,CAH02790,
KLLA0_A04752g,CAH02796,
KLLA0_A09867g,CAH03019,
KLLA0_A11330g,CAH03080,
KLLA0_A09625g,CAH03008,
KLLA0_A02695g,CAH02707,
KLLA0_A09823g,CAH03017,
KLLA0_A11033g,CAH03068,
KLLA0_A04818g,CAH02799,
KLLA0_A05841g,CAH02848,
KLLA0_A01925g,CAH02673,
KLLA0_A05797g,CAH02846,
KLLA0_A11462g,CAH03086,
KLLA0_A09933g,CAH03022,
KLLA0_A11066g,CAH03070,
KLLA0_A09031g,CAH02983,
KLLA0_A10043g,CAH03027,
KLLA0_A00154g,CAH02594,
KLLA0_A07293g,CAH02912,
KLLA0_A05709g,CAH02842,
KLLA0_A10241g,CAH03036,
KLLA0_A07645g,CAH02928,
KLLA0_A00462g,CAH02606,
KLLA0_A00572g,CAH02611,
KLLA0_A04411g,CAH02781,
KLLA0_A00957g,CAH02629,
KLLA0_A03718g,CAH02752,
KLLA0_A06776g,CAH02890,
KLLA0_A08448g,CAH02961,
KLLA0_A10967g,CAH03065,
KLLA0_A05929g,CAH02852,
KLLA0_A05115g,CAH02813,
KLLA0_A09295g,CAH02994,
KLLA0_A01628g,CAH02659,
KLLA0_A06281g,CAH02868,
KLLA0_A09185g,CAH02990,
KLLA0_A02321g,CAH02691,
KLLA0_A03696g,CAH02751,
KLLA0_A05412g,CAH02827,
KLLA0_A06490g,CAH02877,
KLLA0_A02123g,CAH02682,
KLLA0_A11220g,CAH03076,
KLLA0_A06556g,CAH02880,
KLLA0_A07535g,CAH02923,
KLLA0_A01430g,CAH02650,
KLLA0_A00715g,CAH02618,
KLLA0_A08184g,CAH02952,
KLLA0_A10791g,CAH03058,
KLLA0_A08690g,CAH02969,
KLLA0_A08140g,CAH02950,
KLLA0_A10197g,CAH03034,
KLLA0_A05225g,CAH02818,
KLLA0_A08426g,CAH02960,
KLLA0_A02167g,CAH02684,
KLLA0_A03223g,CAH02729,
KLLA0_A07909g,CAH02940,
KLLA0_A01111g,CAH02636,
KLLA0_A03883g,CAH02758,
KLLA0_A10461g,CAH03046,
KLLA0_A04840g,CAH02800,
KLLA0_A07018g,CAH02899,
KLLA0_A10703g,CAH03056,
KLLA0_A11011g,CAH03067,
KLLA0_A02475g,CAH02697,
KLLA0_A09317g,CAH02995,
KLLA0_A00979g,CAH02630,
KLLA0_A11616g,CAH03093,
KLLA0_A01287g,CAH02642,
KLLA0_A07777g,CAH02934,
KLLA0_A06149g,CAH02862,
KLLA0_A05907g,CAH02851,
KLLA0_A08580g,CAH02965,
KLLA0_A09361g,CAH02997,
KLLA0_A05258g,CAH02820,
KLLA0_A05544g,CAH02833,
